Job Title,Company,Experience,Created Date,Location,Salary,Skills,Description,Link
Healthcare Data Analyst,Needs Ayurveda Private Limited,10 to 20 Yrs,7 days ago,"Afghanistan,Bangalore,Chennai,Delhi,Ghana,Gurugram,Hyderabad,Kenya,Kolkata,Mozambique,Mumbai City,Noida,Pune,Saudi Arabia,Tunisia,United Arab Emirates,Zimbabwe",Rs 44  - 65 Lakh/Yr,"mds, office administration, intelligence, healthcare, data, organizing, management, business, entry, nurs, purchaser, talent, specialist, analyst, chief, skills, officer, analyzing, compiling","We are looking for highly analytical candidates who are as skilled in healthcare administration as they are in business management. Healthcare data analysts are quantitative specialists who understand the business needs of a hospital and how to use data to achieve those needs. Their duties include organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations, and communicating their findings through the use of data visualization and detailed reports.The best healthcare data analysts are diligent problem solvers who use data in creative ways to reach business goals.Healthcare Data Analyst Responsibilities:Compiling and organizing healthcare data.Analyzing data to assist in delivering optimal healthcare management and decision making.Using healthcare data to achieve administrative needs and goals.Understanding data storage and data sharing methods.Investigating data to find patterns and trends.Understanding healthcare business operations.Utilizing different data sources for analyses.Converting data into usable information that is easy to understand.Developing reports and presentations.Communicating analytic insights to management.",https://www.shine.com/jobs/healthcare-data-analyst/needs-ayurveda-private-limited/17067022
Data Analyst  in Germany & Luxembourg,world overseas immigration consultancy Pvt Ltd,2 to 7 Yrs,7 days ago,"Australia,Austria,Canada,Germany,Luxembourg,United Kingdom",Rs 42  - 44 Lakh/Yr,"software services, data warehousing, data entry, data analysis, data integration, auditing, data analytics, analysis, worldoverseasservices","Design and build technical processes to address business issues.Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.Recruit, train, develop and supervise analyst-level employees.Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.Examine, interpret and report results of analytical initiatives to stakeholders in leadership, technology, sales, marketing and product teams.",https://www.shine.com/jobs/data-analyst-jobs-in-germany-luxembourg/world-overseas-immigration-consultancy-pvt-ltd/17067025
Freelancer Interviewer for Data Analyst,ARHAT TALENT SOLUTIONS PRIVATE LIMITED,10 to 20 Yrs,1 month ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune",Rs 3.0  - 6 Lakh/Yr,"data visualization, power bi, data analyst","Role- Freelancer InterviewerLocation- RemoteJob Type- FreelancingJob Title: Data AnalystJob Description:We are seeking a detail-oriented and analytical data analyst to join our team. You will be responsible forcollecting, processing, and analyzing large datasets to help drive business decisions and improveperformance. The ideal candidate has strong analytical skills, expertise with data visualization tools, anda passion for uncovering insights.Key Responsibilities:Collect, clean and interpret data from multiple sources (Application owners)Develop dashboards and reports to communicate key metrics and trendsWork closely with cross-functional teams to understand data needs and provide actionableinsightsUser statistical tools to identify, analyze and interpret patterns and trendsPresent findings to stakeholders in a clear and concise mannerAssist in developing data models and predictive analytics.RequirementsBachelor&#39;s degree in Data Science, statistics, Mathematics, computer science or a related field4+ years of experience in a data analyst or similar roleProficiency in SQL, ExcelExperience with data visualization tools such as PowerBI etc.",https://www.shine.com/jobs/freelancer-interviewer-for-data-analyst/arhat-talent-solutions-private-limited/16957228
Data Analyst,BITBYBIT SOLUTIONS,5 to 9 Yrs,2 months ago,"Bangalore,Chennai,Mumbai City",Not Disclosed,"finance, intelligence, business, fund, etl, data, bi, analysis, modeling, accounting, insights, analyst, financial","Role: Data Analyst (Fund Accounting & BI) Business & Data InsightsKey Responsibilities:Collaborate with business stakeholders, finance teams, and data engineers to define and execute data-driven solutions.Build interactive dashboards and reports using Power BI, Tableau,  or Metabase.Ensure data accuracy, validation, and compliance in financial datasets and BI reports.Work closely with Data Engineers to define data models, ETL processes, and governance rules.Provide financial insights based on large-scale fund accounting data stored in Iceberg, or Data Lakes.
Research and implement best practices for data visualization, trend analysis, and financial forecasting.Required Skills & Qualifications:5+ years of experience in Data Analytics, Business Intelligence, or Financial Data Analysis.Strong knowledge of Fund Accounting, NAV calculations, Portfolio Management, and Financial Data Reporting.Expertise in BI tools: Power BI, Tableau, Metabase, or similar platforms.Data Modeling & ETL: Experience in defining data structures, views, and processing pipelines for financial data.Strong communication skills: Ability to present complex financial data insights to non-technical stakeholders.Ability to work in cross-functional teams with finance, business, and data engineering teams.Preferred Skills (Nice to Have)Knowledge ofApache Iceberg, MinIO, and Data Lakehouse concepts.Familiarity withfund accounting tools like Geneva, InvestranRole : Data Analyst (Fund Accounting & BI) Business & Data InsightsExperience: 5 to 7 YearsLocation: Bangalore ,Mumbai , ChennaiWork Mode - Hybrid Mode. (3 days WFO- 2 days WFH)Interview mode- Virtual interview.Shift Timings- 12 PM to 9 PM  (Hybrid Mode)CTC : 15 to 19 LPANotice Period: Immediate to 1 Month.",https://www.shine.com/jobs/data-analyst/bitbybit-solutions/16782705
Data Analyst,AASHTHA STAFFING SOLUTION,0 to 4 Yrs,3 days ago,"Bhopal,Bhubaneswar,Indore,Jaipur,Kolkata,Kuwait,Nagpur,Navi Mumbai,Oman,Pimpri Chinchwad,Qatar,Raipur,Thane,United Arab Emirates",Rs 2.0  - 6 Lakh/Yr,"statistics, data analysis, management, probability, outsourcing","Were seeking an experienced data scientist to deliver insights on a daily basis. The ideal candidate will have mathematical and statistical expertise, along with natural curiosity and a creative mind. While mining, interpreting, and cleaning our data, this person will be relied on to ask questions, connect the dots, and uncover hidden opportunities for realizing the datas full potential. As part of a team of specialists, the data scientist will slice and dice data using various methods and create new visions for the future.Responsibilities:Serve as lead data strategist to identify and integrate new datasets that can be leveraged through our product capabilities, and work closely with the engineering team in the development of data productsExecute analytical experiments to help solve problems across various domains and industriesIdentify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variablesDevise and utilize algorithms and models to mine big-data stores; perform data and error analysis to improve models; clean and validate data for uniformity and accuracyAnalyze data for trends and patterns, and interpret data with clear objectives in mindImplement analytical models in production by collaborating with software developers and machine-learning engineersOther DetailsSalary-45,000/- to 58,000/-Required Experience-0 To 10Minimum Age-18Qualification Required-Diploma,B.tech,M.tech,Liaising with coworkers and clients to elucidate the requirements for each task.0 To 10 years of industry experience also can applyWork Department-Data Scientist,Tester,Automation,Data EngineerWork Industry-IT,Banking.Skills-Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs.for more clarification contact to this number-hidden_mobileAlso Send Your CVhidden_emailRegardsHR Placement Team",https://www.shine.com/jobs/data-analyst/aashtha-staffing-solution/17091062
Data Analyst,Menko Services Pvt Ltd,1 to 3 Yrs,3 weeks ago,Jaipur,Not Disclosed,"excel, data manipulation, reporting, data extraction, data analysis, sql, python, data reporting, data warehousing, analysis","Job Title: Data AnalystLocation:JaipurExperience:1 - 3 yearsJob Description:We are looking for aData Analystto join our team and help us turn data into actionable insights. This role requires a strong analytical mindset, hands-on experience withExcel, Power BI, Python, and APIs, and the ability to drive data-driven decision-making.Key Responsibilities:Data Analysis & ReportingCreate statistical reports for sales and analyze data from marketplaces such asAmazon and eBay.Develop reports that provide insights forMarketing, Sales, and Productteams.Analyzepricing trends, inventory levels, and competitor performanceacross platforms.Performance Tracking & OptimizationDevelop and analyze reports forPPC performance and organic growthon Amazon, eBay, Google Ads, etc.UseExcel and Power BIto design interactive dashboards for data visualization.Track competitors progress and provide insights for strategic decision-making.Monitor the impact of changes using thePDCA-cycle(Plan, Do, Check, Act).Technical Skills & AutomationUtilizePythonfor data analysis and automation of reporting tasks.Work withAPIsto extract and analyze data from multiple platforms.Implement automated solutions for data collection, processing, and visualization.Candidate Profile:Expert in Excelwith advanced functions and data visualization skills.Knowledge of Power BIand experience in dashboard creation is an advantage.Strong proficiency in Pythonfor data manipulation and analysis.Experience working withAPIsfor data extraction and automation.Ability to convert analytical insights intoactionable recommendations.Experience with Amazon, eBay, or other e-commerce platformsis preferred.At least1 year of relevant work experiencein data analytics or a similar field.Excellent English communication skills(written & oral).Aproactive, detail-orientedapproach with the ability to multitask.Strong problem-solving skills and the ability to work cross-functionally.If you're a data-driven individual who loves numbers, insights, and automation, we'd love to hear from you!Apply Now:Send your resume to [hidden_email] or DM us for more details.#Hiring #DataAnalyst #Python #PowerBI #APIs #Ecommerce #DataDriven #Analytics",https://www.shine.com/jobs/data-analyst/menko-services-pvt-ltd/16968047
Data Analyst,AppSoft Solutions,1 to 6 Yrs,2 weeks ago,"Bangalore,Delhi,Mumbai City,Noida,Pune",Rs 8  - 18 Lakh/Yr,"sql, data analysis, bi, javascript, sas, tableau, etl, power, excel, developing","We are looking to hire a data analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.Data Analyst Responsibilities:Managing master data, including creation, updates, and deletion.Managing users and user roles.Provide quality assurance of imported data, working with quality assurance analysts if necessary.Commissioning and decommissioning of data sets.Processing confidential data and information according to guidelines.Helping develop reports and analyses.Managing and designing the reporting environment, including data sources, security, and metadata.Supporting the data warehouse in identifying and revising reporting requirements.Supporting initiatives for data integrity and normalization.Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.Generating reports from single or multiple systems.Troubleshooting the reporting database environment and reports.Evaluating changes and updates to source production systems.Training end-users on new reports and dashboards.Providing technical expertise in data storage structures, data mining, and data cleansing.Data Analyst Requirements:Bachelors degree from an accredited university or college in computer science.Work experience as a data analyst or in a related field.Ability to work with stakeholders to assess potential risks.Ability to analyze existing tools and databases and provide software solution recommendations.Ability to translate business requirements into nontechnical, lay terms.High-level experience in methodologies and processes for managing large-scale databases.Demonstrated experience in handling large data sets and relational databases.Understanding of addressing and metadata standards.High-level written and verbal communication skills.",https://www.shine.com/jobs/data-analyst/appsoft-solutions/17017180
Data Analyst,Prime Immigration LLP Hiring For prime,1 to 6 Yrs,2 weeks ago,"Canada,Germany,Hong Kong,Poland,Saudi Arabia,Singapore,United Arab Emirates,United Kingdom,United States of America",Not Disclosed,"scap, statistics, continuous monitoring, continuous controls monitoring, data analytics, time series analysis, data analysis","Call & whatsapp +91-hidden_mobileJob description1. Managing the technical scope of the project in line with the requirements at all stagesa. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trendsb. Develop record management process and policiesc. Build and maintain relationships at all levels within the client base and understand their requirements.d. Providing sales data, proposals, data insights and account reviews to the client baseRole:Data AnalystIndustry Type:IT Services & ConsultingDepartment:Data Science & AnalyticsEmployment Type:Full Time, PermanentRole Category:Business Intelligence & AnalyticsEducationUG:Any GraduatePG:Any PostgraduateKey Skills
Skills highlighted with are preferred keyskills",https://www.shine.com/jobs/data-analyst/prime-immigration-llp/17029436
Data Analyst,AASHTHA STAFFING SOLUTION,0 to 4 Yrs,1 week ago,"Balaghat,Bhopal,Gwalior,Indore,Jabalpur,Katni,Kuwait,Oman,Qatar,Ratlam,Rewa,Sagar,Ujjain,United Arab Emirates",Rs 2.0  - 6 Lakh/Yr,"probability, data analysis, management, outsourcing, statistics","We are seeking a talented and detail-oriented Data Analyst to join our dynamic team. As a Data Analyst,you will be responsible for interpreting data, analyzing results, and providing actionable insights to driveinformed decision-making across the agency. You will work closely with stakeholders to understand theirdata needs, develop analytical solutions, and present findings in a clear and concise manner.Responsibilities:We are seeking a talented and detail-oriented Data Analyst to join our dynamic team. As a Data Analyst,you will be responsible for interpreting data, analyzing results, and providing actionable insights to driveinformed decision-making across the agency. You will work closely with stakeholders to understand theirdata needs, develop analytical solutions, and present findings in a clear and concise manner.Other DetailsSalary-45,000/- to 58,000/-Required Experience-0 To 10Minimum Age-18Qualification Required-Diploma,B.tech,M.tech,Liaising with coworkers and clients to elucidate the requirements for each task.0 To 10 years of industry experience also can applyWork Department-Data Scientist,Tester,Automation,Data EngineerWork Industry-IT,Banking.Skills-Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs.for more clarification contact to this number-hidden_mobileAlso Send Your CVhidden_emailRegardsHR Placement Team",https://www.shine.com/jobs/data-analyst/aashtha-staffing-solution/17048433
Data Analyst,Miracle Consultancy,2 to 7 Yrs,1 month ago,Rajkot,Rs 4.0  - 9 Lakh/Yr,"data, data visualization, sql, power, tableau, bi, analyst","We are hiring for Data Analyst in one of the leading University of Gujarat.Location : Rajkot, GujaratEducation :  Bachelors or Masters degree in Statistics, Mathematics, Computer Science, or related field.Experience : 2-3 years minimumKey Responsibilities:Analyze structured and unstructured data to identify trends and patternsDevelop and maintain dashboards and visualizations using tools like Power BI,Tableau, or ExcelClean and validate data to ensure accuracy, completeness, and reliabilityCollaborate with stakeholders to understand data requirements and deliversolutionsPerform statistical analysis and predictive modeling when requiredGenerate regular and ad hoc reports for business performance monitoringDocument data processes, methodologies, and data dictionaries",https://www.shine.com/jobs/data-analyst/miracle-consultancy/16957349
Data Analyst,Divya Staffing Solution,0 to 4 Yrs,3 weeks ago,"Aurangabad,Bhopal,Indore,Jaipur,Kolhapur,Nagpur,Nashik,Pimpri Chinchwad,Pune,Solapur",Rs 6  - 9 Lakh/Yr,"analytics, testing, software testing, data engineering, data analysis","We are seeking a talented and detail-oriented Data Analyst to join our dynamic team. As a Data Analyst,you will be responsible for interpreting data, analyzing results, and providing actionable insights to driveinformed decision-making across the agency. You will work closely with stakeholders to understand theirdata needs, develop analytical solutions, and present findings in a clear and concise manner.Responsibilities:We are seeking a talented and detail-oriented Data Analyst to join our dynamic team. As a Data Analyst,you will be responsible for interpreting data, analyzing results, and providing actionable insights to driveinformed decision-making across the agency. You will work closely with stakeholders to understand theirdata needs, develop analytical solutions, and present findings in a clear and concise manner.Other DetailsSalary-45,000/- to 58,000/-Required Experience-0 To 10Minimum Age-18Data Engineer Responsibilities:Qualification Required-Diploma,B.tech,M.tech,Liaising with coworkers and clients to elucidate the requirements for each task.0 To 10 years of industry experience also can applyWork Department-Data Scientist,Tester,Automation,Data EngineerWork Industry-IT,Banking.Skills-Remaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs.for more clarification contact to this number-hidden_mobileAlso Send Your CVhidden_emailRegardsHR Placement Team",https://www.shine.com/jobs/data-analyst/divya-staffing-solution/16967792
