Job Title,Company,Experience,Created Date,Location,Salary,Skills,Description,Link
Data Engineer All Over India,V-Tech Data Outsourcing,0 to 1 Yr,1 day ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune,Thane",Rs 5  - 12 Lakh/Yr,"data analytics, data entry, handwriting work from home, typing, excel sheet, work from home typing, work from home content writing","We are thrilled to announce multiple vacancies for the position of Data Engineer across various locations in India. This is a fantastic opportunity for freshers to kickstart their careers in the data domain.Key Details:- Position: Data Engineer- Location: All over India- Eligibility: Freshers can apply- Salary: Fixed salary offeredIf you are interested in this opportunity or know someone who might be, please feel free to reach out for more information.Any query or help please contact our team Call / WhatsApp - HR Vivek :hidden_mobile( mon. to sat. 11am to 5pm Sunday closed)Regards,V- Tech Data Outsourcing",https://www.shine.com/jobs/data-engineer-all-over-india/v-tech-data-outsourcing/17082466
Sr. Data Engineer ETL,UNIMORPH CONSULTING LLP,8 to 12 Yrs,5 days ago,Chennai,Rs 20  - 28 Lakh/Yr,"data integration, data warehousing, python, azure, data vault, data modeling, data engineering, snowflake, etl, data pipeline","As a Hiring Partner for many IT Organization, We are Hiring for Product MNC for their global Analytics Division. This is Direct and Full time placement with the Hiring Organization.Interested candidate can share the Word format resume with ctc and notice period tohidden_emailRole : Sr. Data Engineer ETL-ManagerExperience : 8-12 YrsLocation : Chennai# Key Skills :ETL,Data Ingestion, Build Data Pipeline,Data Modeling,data migration,data vault,DWH,Azure Data Factory,SQL, Python, ETL,Snowflake,data conversion, data profiling, data governance and data analysis.# Highlights :Support Analytics and Reporting using Data Ingestion and Pipelines.Design,develop & Build data ingestion pipelines solutions with other team.Experience on Azure Data Factory (ADF) and other Azure Data Services.Experience in Data modeling,Data WareHouse,data ingestion, data conversion, data profiling, data governance and data analysis.Experience in ETL & Data PipelineSolid SQL, Python, ETL, data modeling (including data vault 2.0), data migration or programming skills.Experience and strong understanding of Snowflake Architecture and Design.Experience using modern approaches to automating data pipelines.# Roles and Responsibilities :Work with stakeholders to define solution and data warehouse (DWH) design (based on Snowflake), that adheres to industry best practices and specific needs of BI tools.Design and develop data ingestion pipelines and frameworks to support enterprise analytical/reporting needs.Provide guidance and collaborate on data ingestion design with data modeling, ML engineering, and data quality teams.Manage and configure the Azure Data Factory environments and related MS Azure services.Implement improvements and new tools and approaches aimed at data integration, storage, modeling, profiling, processing, management, and archival.Recommend improvements and platform development to meet strategic objectives of Global Technology and the business.Utilize Agile practices to manage and deliver features.# Experience :Bachelor's degree in Computer Science, Engineering or Technical Field preferred.Minimum 3-5 years of relevant experience.Proven experience in data engineering and enterprise data warehouse development.Execution of data ingestion, data conversion, data profiling, data governance and data analysis initiatives.Excellent interpersonal, oral, and written communication; Ability to relate ideas and concepts to others; write reports, business correspondence, project plans and procedure documents.Profound understanding of data concepts, data modeling methods and experience in data management capabilities including data definitions, data quality management, and data integration.Solid SQL, Python, ETL, data modeling (including data vault 2.0), data migration or programming skills.Experience and strong understanding of Snowflake Architecture and Design.Experience using modern approaches to automating data pipelines.Agile and Waterfall methodologies.Ability to work independently and manage multiple task assignments within a structured implementation methodology.Personally invested in continuous improvement and innovation.Motivated, self-directed individual that works well with minimal supervision.Must have experience to work across multiple teams/technologies.Preferred but not essential: Business intelligence tool (preferably PowerBI)Preferred but not essential: Programming experience (C++, JavaScript)Preferred but not essential: Experience with dbt (data build tool)",https://www.shine.com/jobs/sr-data-engineer-etl/unimorph-consulting-llp/17060089
Data Engineer with SCALA,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,5 to 10 Yrs,1 week ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune",Rs 7  - 14 Lakh/Yr,"data engineering, spark, scala","Scala JDHadoop, Scala Spark, Hive, SQL query, experience in data application development at scale in the Hadoop ecosystem. Knowledge of version control (Git), CI/CD tools, and Agile methodologies.2(+) years experience in Spark Ecosystems with Proficiency in Scala (BigData) and SQL.Familiarity with bigdata processing tools and techniquesExperience with the Hadoop ecosystemGood understanding of distributed systemsExperience with streaming data platformsExcellent analytical and problem-solving skills-",https://www.shine.com/jobs/data-engineer-with-scala/capgemini-technology-services-india-limited/17042822
Sr. Data Engineer ETL,UNIMORPH CONSULTING LLP,8 to 12 Yrs,3 weeks ago,Chennai,Rs 20  - 28 Lakh/Yr,"python, etl, data warehousing, snowflake, data integration, data engineering, data vault, azure, data modeling, data pipeline","As a Hiring Partner for many IT Organization, We are Hiring for Product MNC for their global Analytics Division. This is Direct and Full time placement with the Hiring Organization.Interested candidate can share the Word format resume with ctc and notice period tohidden_emailRole : Sr. Data Engineer ETL-ManagerExperience : 8-12 YrsLocation : Chennai# Key Skills :ETL,Data Ingestion, Build Data Pipeline,Data Modeling,data migration,data vault,DWH,Azure Data Factory,SQL, Python, ETL,Snowflake,data conversion, data profiling, data governance and data analysis.# Highlights :Support Analytics and Reporting using Data Ingestion and Pipelines.Design,develop & Build data ingestion pipelines solutions with other team.Experience on Azure Data Factory (ADF) and other Azure Data Services.Experience in Data modeling,Data WareHouse,data ingestion, data conversion, data profiling, data governance and data analysis.Experience in ETL & Data PipelineSolid SQL, Python, ETL, data modeling (including data vault 2.0), data migration or programming skills.Experience and strong understanding of Snowflake Architecture and Design.Experience using modern approaches to automating data pipelines.# Roles and Responsibilities :Work with stakeholders to define solution and data warehouse (DWH) design (based on Snowflake), that adheres to industry best practices and specific needs of BI tools.Design and develop data ingestion pipelines and frameworks to support enterprise analytical/reporting needs.Provide guidance and collaborate on data ingestion design with data modeling, ML engineering, and data quality teams.Manage and configure the Azure Data Factory environments and related MS Azure services.Implement improvements and new tools and approaches aimed at data integration, storage, modeling, profiling, processing, management, and archival.Recommend improvements and platform development to meet strategic objectives of Global Technology and the business.Utilize Agile practices to manage and deliver features.# Experience :Bachelor's degree in Computer Science, Engineering or Technical Field preferred.Minimum 3-5 years of relevant experience.Proven experience in data engineering and enterprise data warehouse development.Execution of data ingestion, data conversion, data profiling, data governance and data analysis initiatives.Excellent interpersonal, oral, and written communication; Ability to relate ideas and concepts to others; write reports, business correspondence, project plans and procedure documents.Profound understanding of data concepts, data modeling methods and experience in data management capabilities including data definitions, data quality management, and data integration.Solid SQL, Python, ETL, data modeling (including data vault 2.0), data migration or programming skills.Experience and strong understanding of Snowflake Architecture and Design.Experience using modern approaches to automating data pipelines.Agile and Waterfall methodologies.Ability to work independently and manage multiple task assignments within a structured implementation methodology.Personally invested in continuous improvement and innovation.Motivated, self-directed individual that works well with minimal supervision.Must have experience to work across multiple teams/technologies.Preferred but not essential: Business intelligence tool (preferably PowerBI)Preferred but not essential: Programming experience (C++, JavaScript)Preferred but not essential: Experience with dbt (data build tool)",https://www.shine.com/jobs/sr-data-engineer-etl/unimorph-consulting-llp/16967404
Data Engineer,V-Tech Data Outsourcing,0 to 1 Yr,3 weeks ago,"Ambernath,Bhiwandi,Dombivali,Kalyan,Mira Bhayandar,Nagpur,Nashik,Panvel,Raigad,Vasai",Rs 2.5  - 4.0 Lakh/Yr,"typing, work from home content writing, data analytics, excel sheet, data entry, handwriting work from home, work from home typing, work from home","Job DetailsJob Title:Data Entry OperatorLocation:Work From HomeJob Type:Part Time or Full TimeSalary:Rs.15000 to Rs.30000Qualification:Minimum 12th PassWork Schedule:FlexibleJob Description:V Tech  is currently seeking reliable and detail-oriented individuals to join our team as Data Entry Operators. This is a work-from-home position with flexible work hours, suitable for both part-time and full-time candidates. The ideal candidates should have a minimum qualification of 12th pass and possess excellent data entry skills.Responsibilities:Accurate and timely data entry of information into various systems.Handling data entry projects includingE-Book Typing, Excel Numerical Entry, and Manual Form Filling.Ensuring data accuracy and maintaining confidentiality.Adhering to company guidelines and standards for data entry.Qualifications:Minimum 12th pass.Strong attention to detail and accuracy.Basic computer skills and proficiency in data entry.Work Environment:Work from the comfort of your home.Flexible work hours to accommodate various schedules.Salary and Benefits:Competitive salary ranging from Rs.15000 to Rs.30000.No target-based job, allowing for a stress-free work environment.Any query or help please contact our team Call / WhatsApp - HR Vivek :hidden_mobile( mon. to sat. 11am to 5pm Sunday closed)Regards,",https://www.shine.com/jobs/data-engineer/v-tech-data-outsourcing/16957231
Data Engineer,V-Tech Data Outsourcing,0 to 1 Yr,3 weeks ago,"Ahmedabad,Anand,Ankleshwar,Baddi,Bharuch,Bilaspur,Chamba,Dalhousie,Dharamshala,Gandhinagar",Rs 2.5  - 4.0 Lakh/Yr,"work from home, work from home content writing, handwriting work from home, work from home typing, data entry, excel sheet, typing, data analytics","Job DetailsWe are in urgent need of Data Entry Typing(Work From Home Jobs) who is dedicated and serious about his/her work.We have various types of online and offline project works.Responsibilities: Have to work on Company's provided software.Enter data accurately and efficiently into computer systems and laptop.Verify data by comparing it to source documents, detecting and correcting errors, and ensuring data integrity.Perform regular data backups to ensure data security and continuity.Submit your work at a given time.Skills:  Basic Computer SkillAverage Typing SpeedPerks and Benefits:  1) No age bar2) Flexible timeQualification: 12thand aboveSalary: For Freshers: 10k-25kFor Experience: 15k-30kAny query or help please contact our team Call / WhatsApp - HR Vivek :hidden_mobile( mon. to sat. 11am to 5pm Sunday closed)Regards,",https://www.shine.com/jobs/data-engineer/v-tech-data-outsourcing/16965070
Data Engineer,V-Tech Data Outsourcing,0 to 1 Yr,3 weeks ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune,Thane",Rs 1.5  - 3.0 Lakh/Yr,"work from home content writing, typing, work from home typing, handwriting work from home, data entry, excel sheet, data analytics","Job DetailsData Entry Job Summary: We are seeking a detail-oriented Data Entry Specialist to join our team. The ideal candidate will be responsible for inputting, updating, and maintaining data in our systems while ensuring accuracy and efficiency. Key Responsibilities: Enter and update data into databases and software systems. Verify accuracy and completeness of data before entry. Maintain and organize digital and physical files. Perform regular data audits to identify and correct errors. Assist in generating reports as needed. Collaborate with team members to improve data management processes. Respond to data-related inquiries and provide support to other departments. Qualifications: High school diploma or equivalent; additional education in a relevant field is a plus. Proven experience in data entry or a similar role. Proficient in Microsoft Office Suite (Excel, Word) and data management software. Strong attention to detail and accuracy. Excellent organizational and time management skills.Ability to work independently and as part of a team.Good communication skills. Preferred Skills: Familiarity with database management systems.Experience with data analysis tools. Job Type: Full-time/part timeAny query or help please contact our team Call / WhatsApp - HR Vivek :hidden_mobile( mon. to sat. 11am to 5pm Sunday closed)Regards,V- Tech Data Outsourcing",https://www.shine.com/jobs/data-engineer/v-tech-data-outsourcing/16967721
For Trainer(Online N.Shift) (Data Science / Data Engineer) Opening,ONJOB GROUP Hiring For Onjob Group,8 to 13 Yrs,1 day ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune",Rs 7  - 16 Lakh/Yr,"data science, data engineering, artificial intelligence, data analytics, machine learning, ml, ai","Hi,Job Description:Role & Responsibilities:Provide expert job support or on-the-job training in Data Science, Data Engineering, AWS, ML, AI & more.Assist professionals in solving real-time project challenges.Work hourly at your convenience without affecting your full-time job.Preferred Candidate Profile:10+ years of experience in relevant technology, Data Science, Data Engineering, AWS, ML, AI & more.Strong troubleshooting & mentoring skills.Comfortable with flexible, hourly-based job support (WFH), Its remote job.Perks & Benefits:Earn 1L - 3L per month for extra 2 hours to 4 hours.Work on your scheduling commitment, no impact on your current job.Get paid hourly for your expertise.Interested  Apply Now & Start Earning Extra!Contact: Bala (+91 82hidden_mobile5) and Email tohidden_email",https://www.shine.com/jobs/job-for-traineronline-nshift-data-science-data-engineer-opening/onjob-group/17082656
Staff data engineer,People First Consultants Pvt Ltd,10 to 20 Yrs,1 month ago,Bangalore,Not Disclosed,"spark, scala, data engineering, scalability, pyspark","Greetings from people first consultants!!!!We are looking for Staff data engineer for a leading healthcare company!!!!Location - BangaloreDuties and Responsibilities1. Lead and contribute to the creation of a self-service data platform for reporting and analytics2. Design and build data solutions using Databricks, SQL, Python, Spark, and Delta Lake in the Azure ecosystem (Blob Storage, Data Factory, Event Hubs)3. Ensure best practices for ETL / ELT processes (data quality management, data processing, data partitioning, maintainability and reusability)4. Collaborate with engineers, product, and business leaders to ensure data platform is integrated with other systems and technologies (Tableau, Power BI, APIs, custom applications)5. Establish CI/CD processes, test frameworks, infrastructure-as-code tools, and monitoring/alerting (Git, Terraform, Azure DevOps / GitHub Actions / Jenkins, Azure Monitor / Datadog)6. Adhere to the Code of Conduct and be familiar with all compliance policies and procedures stored in LogixGarden relevant to this positionExperience1. Experience with native and third-party Databricks integrations (Delta Live Tables, Auto Loader, Databricks Workflows / Apache Airflow, Unity Catalog)2. 8+ years data engineering experience3. 3+ years in a senior, staff or principal engineer role4. Experience designing scalable data pipelines5. Experience leading projects within a team and across teams6. Azure experience preferred7. Azure Databricks implementation experience preferred8. Experience designing and implementing data security and governance platform adhering to compliance standards (HIPPA, SOC 2) preferredSpecific Job Knowledge, Skill and Ability1. Strong programming skills in pySpark/Scala2. Strong Dataframe programming skills, such as Spark, Pandas, NumPy3. Passion for mentoring and guiding others4. Strong written and verbal communication skills5. Expert knowledge in architecting, designing and implementing data solutions to serve the needs of our business processes and software products6. Ability to keep security, maintainability, and scalability in mind with the solutions built7. Possess excellent interpersonal communication skills and an aptitude for continued learning",https://www.shine.com/jobs/staff-data-engineer/people-first-consultants-pvt-ltd/16889119
Data Engineer,HIRINGEYE SOLUTIONS PRIVATE LIMITED,3 to 8 Yrs,2 months ago,Bangalore,Not Disclosed,"kafka, scala, data warehousing, sql, spark, python","Job Title: Data EngineerLocation:[Bangalore]Job Type:[Full-time]Experience Level:[2-8yrs]About the Role:We are seeking a skilledData Engineerto join our team and help build and maintain robust data pipelines, optimize data processing workflows, and ensure the availability and reliability of data infrastructure. You will work closely with data scientists, analysts, and software engineers to enable seamless data-driven decision-making.Key Responsibilities:Design, develop, and maintain scalableETL (Extract, Transform, Load) pipelines.Build and optimizedata warehouses, lakes, and pipelinesfor analytics and machine learning applications.Collaborate withdata scientists and analyststo ensure efficient data access and modeling.Implementdata quality checks, monitoring, and governanceprocesses.Optimize database queries and storage solutions for performance and cost-effectiveness.Work withbig data technologiessuch as Spark, Hadoop, or Kafka.Develop and maintainAPI integrationsfor data ingestion and sharing.Ensuresecurity and compliancebest practices are followed in data management.Required Skills & Qualifications:Bachelor's or Masters degree inComputer Science, Data Engineering, or a related field.2+ yearsof experience in Data Engineering or a related field (varies by level).Proficiency inSQL and NoSQL databases(PostgreSQL, MySQL, MongoDB, etc.).Hands-on experience withcloud platforms(AWS, Azure, GCP) anddata warehouse solutions(Redshift, Snowflake, BigQuery).Strong programming skills inPython, Java, or Scalafor data processing.Familiarity withETL toolslike Apache Airflow, Talend, or dbt.Experience withbig data frameworkslike Spark, Hadoop, or Kafka is a plus.Understanding ofCI/CD practicesfor data pipeline automation.Nice-to-Have Skills:Experience withstreaming datatechnologies (Apache Flink, Kinesis, etc.).Knowledge ofmachine learningworkflows and MLOps.Exposure tocontainerization and orchestration(Docker, Kubernetes).",https://www.shine.com/jobs/data-engineer/hiringeye-solutions-private-limited/16823232
