Job Title,Company,Experience,Created Date,Location,Salary,Skills,Description,Link
Data Scientist,Talenthut Freelance Network Llp,7 to 12 Yrs,6 days ago,"Bangalore,Chennai,Delhi,Gurugram,Hyderabad,Kolkata,Mumbai City,Noida,Pune",Rs 16  - 28 Lakh/Yr,"studio, bi, sql, data, power, docker, r, azure, tableau, apis, shin, yapps, synapse","Job Title: Senior Data ScientistContract: LongtermLocation: RemoteResponsibilities:Utilize expertise in the foodservice industry, and analytics stack to appropriately ingest relevant data from multiple data sources and prepare for data modeling.Apply advanced forecasting models on transactional, point of sales, survey, menu and industry data to predict revenue, growth etc. at various levels of the industry (country, market, company, unit, category)Apply advanced machine learning techniques to drive strategic pricing analytics initiatives via price elasticity modeling, conjoint analysis, store tier development and segmentation.Lead innovation efforts from a data science standpoint, develop prototype applications, design, validate data and models.Collaborate with Products & Services, Product Development, Research & Insights, IT and 3rd party data vendors on productionizing innovation initiatives including guiding jr. data scientists, database developers and analysts on best practices for establishing new data and analytics processes.Independently develop production grade code in SQL and R for advanced analytics projects. Implement code/models via APIs for Ignite platform.Guide jr. data scientists and analysts on data modeling techniques, calibrating data for foodservice industry, code writing best practices, Technomics data and analytics stack.Effectively communicate analytic findings to non-technical staff and clients in a simple to understand manner.QualificationsBachelors degree in data science, Statistics, Mathematics, Engineering, Economics, Computer Science, or quantitative discipline plus 7 plus years of related professional experience OR Masters degree and 5 plus years of related professional experienceStrong attention to detail, as well as strong analytical and problem-solving skills.Expert knowledge in forecasting techniques (Auto Arima, SARIMA, LSTM, prophet etc.)Expert knowledge in price elasticity modeling and regressive techniques (log regressions, conjoint etc.)Expert knowledge in data clustering techniques (k-mean, two-step, nearest neighbor, silhouette) and the ability to validate segments utilizing knowledge of the foodservice industry.Expert level experience in SQL, R, Azure data studio, Synapse, Shin yapps, Tableau, Power BI, R APIs, Docker etc.Commanding experience working with transactional, Point of sale, credit/debit card data.Strong experience in Microsoft Excel (pivot tables, power pivots, x-lookup)Strong understanding of the US foodservice industry from an operator, consumer, manufacturer and distributor perspective and the ability to transform and use the data as inputs to statistical models.Proven ability to manage multiple projects with minimal supervision.Demonstrated ability to learn new programming languages and tools with minimal guidance.",https://www.shine.com/jobs/data-scientist/talenthut-freelance-network-llp/17054900
Senior Data Scientist - Multi-Agent AI Systems,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,5 to 10 Yrs,6 days ago,"Bangalore,Hyderabad,Pune",Rs 16  - 22 Lakh/Yr,"artificial intelligence, python, gen, data science, machine learning, ai","Here are the details for the role:Location- Pune, Hyderabad, BangaloreBudget- 21 LPA MaxExperience- 5 to 11 yearsJob Description: Senior Data Scientist - Multi-Agent AI SystemsAbout the RoleWe are seeking an exceptional Data Scientist with specialized expertise in developing multi-agent AI systems. In this role, you will design, implement, and optimize complex AI ecosystems where multiple intelligent agents collaborate to solve sophisticated problems. You will leverage your deep understanding of generative AI, retrieval-augmented generation (RAG), and prompt engineering to create cutting-edge solutions that push the boundaries of artificial intelligence.Key ResponsibilitiesDesign and develop generative AI-based multi-agent systems that can collaborate, communicate, and coordinate to achieve complex objectivesArchitect and implement RAG-based chatbot solutions that effectively leverage knowledge bases and external data sourcesCreate sophisticated prompt engineering strategies to optimize AI agent behavior and inter-agent communicationBuild, train, and fine-tune generative AI models for various applications within multi-agent systemsDevelop robust evaluation frameworks to measure and improve multi-agent system performanceImplement efficient knowledge sharing mechanisms between AI agentsWrite clean, efficient, and well-documented Python code for production-ready AI systemsCollaborate with cross-functional teams to integrate multi-agent systems into broader product ecosystemsStay at the forefront of AI research and incorporate state-of-the-art techniques into our solutionsRequired QualificationsMaster's or PhD in Computer Science, Machine Learning, Artificial Intelligence, or related field4+ years of professional experience in data science or machine learning engineeringExtensive experience with Python programming and related data science/ML librariesDemonstrated expertise in developing and deploying generative AI models (e.g., LLMs, diffusion models)Proven experience building RAG-based systems and implementing vector databasesStrong background in prompt engineering for large language modelsExperience designing and implementing generative AI-based multi-agent architecturesExcellent problem-solving skills and ability to optimize complex AI systemsPreferred QualificationsExperience with LangChain, AutoGPT, CrewAI, or similar frameworks for building agent-based systemsFamiliarity with orchestration tools for managing complex AI workflowsKnowledge of agent communication protocols and collaborative problem-solving frameworksExperience with distributed systems and cloud computing platforms (AWS, GCP, Azure)Contributions to open-source AI projects or research publications in relevant fieldsExperience with knowledge graphs and semantic reasoning systemsFamiliarity with MLOps practices and deployment of AI systems at scale.",https://www.shine.com/jobs/senior-data-scientist-multi-agent-ai-systems/capgemini-technology-services-india-limited/17059982
Jr. Data Scientist,EXCELR EDTECH PRIVATE LIMITED,0 to 1 Yr,4 days ago,Bangalore,Not Disclosed,"power bi, sql, excel, data science","Job Overview:This role is to support the students who are working on the course assignments and project as the part of ExcelR training.Responsibilities and Duties:- Evaluate Assignments of the Students- Help the participants to solve their Queries- mentor/ Co- mentor the projectsQualifications:-Any graduate-Completed the course on Data Analytics or Data Science-Should have a Good Communication skillsRequirements:For DA:any of the following 2 modules (Excel, My SQL, Tableau, PowerBI)For DS:Knowledge of ML conceptsThanks & Regards,M AnvithaHR RecruiterMobile no.: +91 77hidden_mobile4Email:hidden_emailWebsite:",https://www.shine.com/jobs/jr-data-scientist/excelr-edtech-private-limited/17060185
Data Scientist  In SINGAPORE,Adal immigrations LLP,3 to 8 Yrs,1 month ago,Singapore,Rs 36  - 46 Lakh/Yr,"data analysis, data center, data mining, data scientist","Call & WhatsApp to Ms.Priyanka +91-hidden_mobileCollecting, cleaning, and preprocessing data to ensure its quality and reliabilityExploring and visualizing data to identify patterns, trends, and relationshipsCreating and executing machine learning algorithms and statistical modelsEnsuring the effectiveness of data models through rigorous testing and analysisEvaluating the performance of models and refining them as neededPresenting the results and suggestions to relevant parties by using easily understandable visuals and concise reportsWorking with teams across different functions to implement solutions based on data analysis",https://www.shine.com/jobs/data-scientist-job-in-singapore/adal-immigrations-llp/16867389
Data Scientist  In AUSTRALIA,Adal immigrations LLP,3 to 8 Yrs,2 months ago,Australia,Rs 36  - 44 Lakh/Yr,"data engineering, database testing, data science, data analytics, data scientist","Call & WhatsApp to Ms.Priyanka +91-hidden_mobileSelecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methodsExtending companys data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerCreating automated anomaly detection systems and constant tracking of its performance",https://www.shine.com/jobs/data-scientist-job-in-australia/adal-immigrations-llp/16773026
Data Scientist  In DUBAI,Adal immigrations LLP,3 to 8 Yrs,2 months ago,United Arab Emirates,Rs 36  - 46 Lakh/Yr,"data mining, data analysis, data center, data scientist","Call & WhatsApp to Ms.Priyanka +91-hidden_mobileIdentifying relevant data sources for business needsCollecting structured and unstructured dataSourcing missing dataOrganising data in to usable formatsBuilding predictive modelsBuilding machine learning algorithmsEnhancing the data collection processProcessing, cleansing & verifying of dataAnalysing data for trends and patterns and to find answers to specific questionsSetting up data infrastructureDevelop, implement and maintain databasesAssess quality of data and remove or clean dataGenerating information and insights from data sets and identifying trends and patternsPreparing reports for executive and project teamsCreate visualisations of data",https://www.shine.com/jobs/data-scientist-job-in-dubai/adal-immigrations-llp/16795579
Data Scientist,DREAM BRIDGE IMMIGRATIONS,2 to 7 Yrs,6 days ago,"Australia,Luxembourg,New Zealand,Poland,Singapore,United Kingdom,United States of America",Rs 55  - 85 Lakh/Yr,"data collection, sql, data science, artificial intelligence, data processing, machine learning, phython","Call or WhatsApp to check your eligibilityAman-hidden_mobileJob location: Only overseas countriesRole & ResponsibilitiesWorking closely with your stakeholders to understand their needs, define pain points, and identify opportunities to solve them through advanced analyticsDeveloping hypotheses and articulating what data needs to be collected, which analyses to run, and the approach that will deliver the most valueUsing predictive analytics and artificial intelligence (ai) to extract insights from big data, including machine learning (ml) models, natural language processing (nlp), deep learning (dl)and Generative ai(Gen ai)Building, training and monitoring ml models and writing programs that automate data collection, data processing, model building , model deployment and post-deployment model monitoringClearly conveying the meaning of results, bringing them to life through impactful data visualisation and storytellingProviding actionable insights to decision-makers and stakeholders at every level of technical understanding",https://www.shine.com/jobs/data-scientist/dream-bridge-immigrations/17049027
Data Scientist,Infolexus Solutions Hiring For Infolexus solutions,0 to 4 Yrs,2 weeks ago,"Chennai,Coimbatore",Rs 3.5  - 8 Lakh/Yr,"tableau, advanced excel, artificial intelligence, deep learning, machine learning, python, power bi, sql","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.Key Responsibilities:Collect, clean, and preprocess structured and unstructured data from various sourcesDevelop and implement machine learning models and statistical algorithmsCollaborate with cross-functional teams to understand business needs and provide data-driven solutionsVisualize data and present findings to both technical and non-technical stakeholdersDesign A/B tests and evaluate experiment outcomesStay current with the latest research and best practices in data science and machine learningRequired Qualifications:Bachelors or Masters degree in Computer Science, Statistics, Mathematics, Data Science, or a related fieldProficiency in programming languages such as Python or RExperience with data analysis tools and frameworks (e.g., pandas, scikit-learn, TensorFlow, Spark)Strong knowledge of SQL and experience working with databasesExcellent problem-solving and critical-thinking skillsAbility to clearly communicate complex technical conceptsPreferred Qualifications:Any degree in a quantitative fieldExperience with cloud platforms (AWS, GCP, or Azure)Familiarity with data visualization tools like Tableau or Power BIBackground in a specific domain such as finance, healthcare, or marketingcontact person : Rakesh HRContact number :hidden_mobileExperience : 0-4 yearsLocation : Coimbatore , ChennaiTiming : 9.30 Am - 6.30 Pm",https://www.shine.com/jobs/data-scientist/infolexus-solutions/16987207
Data Scientist  in Canada - Australia - New Zealand - Germany - Dubai,SRV Global Consultancy Pvt.Ltd,3 to 8 Yrs,2 months ago,"Australia,Canada",Rs 28  - 40 Lakh/Yr,"data analytics, database testing, data warehousing, data analysis, data mining, data management, computer assisted audit","URGENT HIRING !!!For more information call or whatsapp +91  8527900160location's : Canada , Australia , New Zealand , UK, Germany , Singapore ( Not In India )Benefits : Medical Insurances , Travel allowances , Flight Tickets , Meals , etcData Collection and Processing:Gathering data from diverse sources and ensuring its quality through cleaning and preprocessing.Exploratory Data Analysis (EDA):Analyzing datasets to summarize their main characteristics, often employing visual methods to identify patterns, anomalies, or trends.Model Development:Building predictive or descriptive models using machine learning and statistical techniques to address specific business challenges.Data Visualization:Creating visual representations of data findings to effectively communicate insights to stakeholders.Collaboration:Working alongside cross-functional teams, including business analysts, engineers, and domain experts, to implement data-driven solutions.",https://www.shine.com/jobs/data-scientist-jobs-in-canada-australia-new-zealand-germany-dubai/srv-global-consultancy-pvtltd/16772991
Data Scientist Leading NBFC Company_Banglore.,RightMatch HR Services Pvt. Ltd.,2 to 7 Yrs,1 week ago,Bangalore,Not Disclosed,"data analytics, python, data science, data models, sql, data analysis, data modeling, data scientist","Company:Leading NBFC FirmJob Title: Manager / Senior ManagerData ScientistDepartment: AnalyticsLocation: BangaloreExperience: 2 to 5 YearsQualification:UG or PGin Computer Science, Data Science, Mathematics, Statistics, or a related field.Working Days:5 daysKey ResponsibilitiesDevelop, deploy, and maintain advanced analytical models and machine learning solutions.Execute data processing tasks using advanced SQL and Python programming, including libraries such as pandas, numpy, and datetime.Implement machine learning models usingscikit-learnandstatsmodels.Perform model validation, deployment, and automation of data science workflows.Design and build dashboards and visualisations to communicate insights effectively.UtilizePySpark, work withbig data platforms, and develop solutions on cloud infrastructures likeAWS,Azure, orGCP.IncorporateMLOpsbest practices using tools likeMLFlowand version control systems likeGitHub.SkillsExcellent command of data processing and model development.Proficient in SQL and PythonAdept at data processing - using SQL queries and Python libraries like pandas, numpy, datetime, usage of Lists and Dictionaries, iterators, lambda functions, etc.Modelling techniques using scikit-learn and statsmodels packages: like linear and logistic regression, decision trees, boosting and bagging algorithms (XGBoost, Random Forest, GBM, etc.)Understanding of model deployment and process automation, model validationExperience in visualisation and dashboarding (preferably using Qlik Sense)Hands-on PySpark and Big Data Platforms, Cloud architectures like AWS, GCP, Azure, usage of MLOps (like MLFlow), and working using GitHubGood to have experience in Deep Learning (MLP, CNN, RNN, LSTM), Transformers, and Gen AI solutions (LLMs like Claude, Mistral, BERT, Gemini, Llama, etc.), accelerators like LangChain and Vector DBs.Candidates can share their Resumes onhidden_emailor can contact onhidden_mobile",https://www.shine.com/jobs/data-scientist-leading-nbfc-company-banglore/rightmatch-hr-services-pvt-ltd/17036029
Hiring for Data Scientist Leading NBFC Firm_Bangalore,RightMatch HR Services Pvt. Ltd.,2 to 7 Yrs,1 week ago,Bangalore,Not Disclosed,"machine learning, data science, python, regression, sql, data scientist, linear","Company: Leading NBFC Firm.Role: Data ScientistQualifications:Bachelors / Masters degree in Computer Science, Data Science,or a related field.Location:Bangalore.Work days:5Role Overview:We are seeking a highly motivated and skilled professional to join our Analytics team as a Data Science & AI. This role demands deep technical expertise in data processing, statistical modeling, and deployment of AI/ML solutions to solve complex business problems. The ideal candidate is expected to bring strong analytical capabilities, programming proficiency, and hands-on experience with end-to-end data science pipelines.Key Responsibilities:Develop, deploy, and maintain advanced analytical models and machine learning solutions.Execute data processing tasks using advanced SQL and Python programming, including libraries such as pandas, numpy, and datetime.Implement machine learning models using scikit-learn and statsmo.Perform model validation, deployment, and automation of data science workflows.Design and build dashboards and visualizations to communicate insights effectively.Utilize PySpark, work wit big data platforms, and develop solutions on cloud infrastructures like AWS, Azure, or GCP.Incorporate MLOps best practices using tools like MLFlow and version control systems like GitHub.Skills:Proficient in SQL and Python.Excellent command of data processing and model development.Modelling techniques using scikit-learn and statsmodels packages, like linear and logistic regression and and Gen AI solutions (LLMs like Claude, Mistral, BERT, Gemini, Llama, etc.)Please note:The above-mentioned description is just a gist of the profile. Detailed discussion will happen at the time of the Personal round of discussion.For any further queries kindly feel free to contactco.in/ +hidden_mobile.",https://www.shine.com/jobs/hiring-for-data-scientist-leading-nbfc-firm-bangalore/rightmatch-hr-services-pvt-ltd/17036034
Data Scientist,WINTECH SERVICES INDIA PRIVATE LIMITED,2 to 7 Yrs,1 month ago,Hyderabad,Rs 24  - 36 Lakh/Yr,"machine learning, nlp, natural language processing, artificial intelligence, gen ai, llm","Education & Experience:Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or related field orequivalent practical experience.Proven track record (2+ years) in NLP, conversational AI, or machine learning roles, ideally with hands-ondeployment experience.Job Responsibilities:Design, develop, and implement AI/ML models, including Generative AI andLLM-basedsolutions.Build and optimize data pipelines and frameworks to support AI model training and deployment.Collaborate with cross-functional teams to integrate AI solutions into business workflows andapplications.Conduct research on state-of-the-art AI/ML techniques and apply them to real-world problems.Develop APIs to expose AI functionalities and integrate them into existing systems.Optimize AI models for scalability, performance, and accuracy.Ensure compliance with data security, privacy, and ethical AI standards.Data && InfrastructureComfort with data engineering tasks managing and preprocessing large text corpora or domain-specific datasets.Required Skills:3-6 years of experience in AI/ML development with a focus on Generative AI and LLMs.Proficiency in Python and AI/ML frameworks like TensorFlow, PyTorch, and Hugging FaceTransformers.RAG && Vector Databases: Hands-on experience designing retrieval-augmented architecturesand working with vector stores (Pinecone, Weaviate, Chroma).LangChain: Knowledge of orchestrating multi-step AI workflows, prompt engineering, andadvanced conversation management.Strong understanding of data pre-processing, feature engineering, and model evaluationtechniques.Experience deploying AI/ML models in production environments.Familiarity with APIs and integration tools like.Knowledge of containerization tools like Docker and orchestration tools like Kubernetes.Strong problem-solving, analytical, and communication skills.",https://www.shine.com/jobs/data-scientist/wintech-services-india-private-limited/16859270
Hiring For Data Scientist,Divya Staffing Solution,0 to 4 Yrs,1 month ago,"Andhra Pradesh,Assam,Gujarat,Himachal Pradesh,Kerala,Kuwait,Maharashtra,Oman,Qatar,Rajasthan,Tamil Nadu,United Arab Emirates,Uttarakhand,West Bengal",Rs 3.5  - 9 Lakh/Yr,"data mining, analytics, analysis, python, sql","Here are some of the main activities and tasks that Data scientists have to perform, and some of the physical demands they involve:ResponsibilitiesImplement cutting-edge techniques and tools in machine learning, deep learning and artificial intelligence to make data analysis more efficientPerform large-scale experimentation to identify hidden relationships between variables in large datasetsCreate advanced machine learning algorithms such as regression, simulation, scenario analysis, modeling, clustering, decision trees and , neural networksPrepare and extract data using programming languageImplement new statistical, machine learning, or other mathematical methodologies to solve specific business problemsVisualize data in a way that allows a business to quickly draw conclusions and make decisionsDevelop artificial intelligence models and algorithms and implement them to meet the needs of the organization.Coordinate research and analysis activities using unstructured and structured data and use programming to clean and organize dataOther DetailsSalary-38,000/- to 65,000/-Required Experience-0 To 4Minimum Age-18RequirementQualification Required-Diploma,B.tech,M.tech,A bachelors degree in business or related field or an MBA.Work Department-Business Analyst,Quality AnalystWork Industry-IT,Banking,FMCG,Skills-Excellent critical thinking and proactive problem-solving skillsfor more clarification contact to this number-hidden_mobileAlso Send Your CV -RegardsHR Placement Team",https://www.shine.com/jobs/hiring-for-data-scientist/divya-staffing-solution/16859363
Senior Data Scientist,Guru Kripa Consultants Hiring For Turing,8 to 13 Yrs,1 month ago,"Gurugram,Hyderabad",Rs 26  - 36 Lakh/Yr,"machine learning, langchain, agents, rag, generative ai, llm","We're Hiring: Sr. LLM Engineer - Gen AIWe are looking for talentedSenior LLM Engineersto join our dynamic team and help solve impactful business challenges for Fortune 500 companies! If you have experience inLarge Language Models (LLMs),Generative AI, and leading technical teams, we want to hear from you!Location:Hyderabad and GurugramWork Mode:HybridBudget:35LPAKey Responsibilities:Lead the design, training, fine-tuning, and deployment of LLM-based solutions using cutting-edge techniques such asprompt engineering,RAG, andagent architectures.Develop high-quality, scalable, and efficient code usingPython,Langchain/Langgraph, andSQL.Collaborate cross-functionally withproduct owners,data scientists, andSMEsto define project goals and deliver high-impact AI solutions.Mentorandguideengineering teams on best practices and cutting-edge research in Generative AI.Drivecloud integrationon platforms likeAWS,GCP, andAzurefor optimal resource usage.What Were Looking For:5+ years inMachine LearningandLLMsystems1+ years of hands-on experience inGenerative AItechniques and architecturesProficiency inPython,LangChain/LangGraph, andSQLSolid understanding ofcloud platforms(Azure, GCP, AWS)Strong leadership and communication skillsThis is an exciting opportunity to be part of Turing'sGenAI delivery organization, which is shaping the future of AI withindustry-leading multi-agent LLM systemsandRAGsolutions!If you're passionate about innovation in AI and want to make a meaningful impact, apply today!",https://www.shine.com/jobs/senior-data-scientist/guru-kripa-consultants/16867334
